fbGroup, lat, lon 
Western MA Noise, 42.6077889711, -72.5562966227, 2014-04-18T21:30:00-0400 
Western MA Noise, 42.312182, -72.458513, 2014-04-12 
Western MA Noise, 42.3218153364, -72.631940172, 2014-04-13T21:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-04-21T20:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-04-15T20:30:00-0400 
Western MA Noise, 42.3417, -72.5889, 2014-04-10T21:00:00-0400 
Western MA Noise, 42.3736395046, -71.1000108605, 2014-04-08T21:00:00-0400 
Western MA Noise, 42.312182, -72.458513, 2014-04-12 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-05-01T19:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-04-05T19:00:00-0400 
Western MA Noise, 42.1849328234, -72.6258348104, 2014-03-28T19:00:00-0500 
Western MA Noise, 42.318798, -72.630257, 2014-03-27T18:00:00-0400 
Western MA Noise, 42.587939, -72.601523, 2014-03-26T19:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-03-23 
Western MA Noise, 42.6358808712, -71.3172419615, 2014-03-23T18:00:00-0400 
Western MA Noise, 42.6042, -72.5569, 2014-03-22T20:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-03-23 
Western MA Noise, 42.6358808712, -71.3172419615, 2014-03-22T20:00:00-0400 
Western MA Noise, 42.1578995206, -72.3307713078, 2014-03-28T21:00:00-0400 
Western MA Noise, 42.34269, -72.593307, 2014-03-25T19:00:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2014-03-16T21:30:00-0400 
Western MA Noise, 42.3218153364, -72.631940172, 2014-03-01T21:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-02-22T19:00:00-0500 
Western MA Noise, 42.3263404337, -72.5254933046, 2014-02-01T21:00:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2014-03-01T21:00:00-0500 
Western MA Noise, 42.3263404337, -72.5254933046, 2014-02-01T21:00:00-0500 
Western MA Noise, 42.3145747452, -72.6352865972, 2014-01-18T20:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-01-17T20:00:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2014-01-06T21:30:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2014-01-05T19:00:00-0500 
Western MA Noise, 42.312182, -72.458513, 2014-01-05T20:00:00-0500 
Western MA Noise, 42.3193167093, -72.6278914073, 2014-01-09T21:00:00-0500 
Western MA Noise, 42.6358808712, -71.3172419615, 2013-12-31T18:00:00-0500 
Western MA Noise, 42.312182, -72.458513, 2014-01-05T20:00:00-0500 
Western MA Noise, 42.2649249835, -72.667204919, 2013-12-18T21:00:00-0500 
Western MA Noise, 42.3218153364, -72.631940172, 2013-12-14T21:30:00-0500 
Western MA Noise, 42.3238256374, -73.1421137071, 2013-12-20T20:00:00-0500 
