Shuffle ID,Group ID,Post ID,https://www.facebook.com/Group ID_Post ID
1566,301986473149390,935906503090714,https://www.facebook.com/301986473149390_935906503090714
650,57795809271,10151936353489272,https://www.facebook.com/57795809271_10151936353489272
1526,57795809271,10151791712779272,https://www.facebook.com/57795809271_10151791712779272
1331,301986473149390,963916683623029,https://www.facebook.com/301986473149390_963916683623029
622,57795809271,10152072717554272,https://www.facebook.com/57795809271_10152072717554272
1738,57795809271,10151765514549272,https://www.facebook.com/57795809271_10151765514549272
1910,57795809271,10151106387294272,https://www.facebook.com/57795809271_10151106387294272
1040,57795809271,10151918327059272,https://www.facebook.com/57795809271_10151918327059272
1398,301986473149390,932799763401388,https://www.facebook.com/301986473149390_932799763401388
693,301986473149390,960613723953325,https://www.facebook.com/301986473149390_960613723953325
1715,57795809271,10151086632919272,https://www.facebook.com/57795809271_10151086632919272
474,301986473149390,10152758446630783,https://www.facebook.com/301986473149390_10152758446630783
1523,57795809271,10150637090334272,https://www.facebook.com/57795809271_10150637090334272
422,57795809271,10151514211484272,https://www.facebook.com/57795809271_10151514211484272
1916,57795809271,10151440042199272,https://www.facebook.com/57795809271_10151440042199272
943,57795809271,10151652818489272,https://www.facebook.com/57795809271_10151652818489272
476,57795809271,10152378299114272,https://www.facebook.com/57795809271_10152378299114272
565,301986473149390,930399103641454,https://www.facebook.com/301986473149390_930399103641454
1173,57795809271,10150758882244272,https://www.facebook.com/57795809271_10150758882244272
494,57795809271,10151785939159272,https://www.facebook.com/57795809271_10151785939159272
954,301986473149390,931493753531989,https://www.facebook.com/301986473149390_931493753531989
1815,57795809271,10152225371639272,https://www.facebook.com/57795809271_10152225371639272
39,301986473149390,962448323769865,https://www.facebook.com/301986473149390_962448323769865
1432,57795809271,10152167012474272,https://www.facebook.com/57795809271_10152167012474272
1594,301986473149390,945548985459799,https://www.facebook.com/301986473149390_945548985459799
1755,301986473149390,925564400791591,https://www.facebook.com/301986473149390_925564400791591
1789,301986473149390,936067916407906,https://www.facebook.com/301986473149390_936067916407906
813,57795809271,10151426416189272,https://www.facebook.com/57795809271_10151426416189272
1035,57795809271,10150663670419272,https://www.facebook.com/57795809271_10150663670419272
943,57795809271,10150739671059272,https://www.facebook.com/57795809271_10150739671059272
1196,301986473149390,10152739563160783,https://www.facebook.com/301986473149390_10152739563160783
1244,301986473149390,928912210456810,https://www.facebook.com/301986473149390_928912210456810
976,57795809271,10151133161249272,https://www.facebook.com/57795809271_10151133161249272
